"provinsi","kota","kecamatan","kelurahan","id_tps","nomor_tps","diterima","rusak","tdk_digunakan","tdk_sah","no1","no2","no3","no4","no5","no6","no7","no8","no9","no10","no11","no12","no13","no14","no15","no16","no17","no18","no19","no20","saksi_pileg"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","DANUREJAN","BAUSASRAN","3471041003002","002","242","26","37","26","2","29","108","38","21","0","3","42","7","5","11","27","0","15","","","","","0","0","Parida"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","DANUREJAN","BAUSASRAN","3471041003003","003","237","1","49","11","8","13","66","11","9","3","4","24","1","3","10","18","0","7","","","","","0","0","Dewi"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","DANUREJAN","BAUSASRAN","3471041003004","004","227","1","52","3","18","15","65","5","18","0","3","10","2","3","13","15","0","4","","","","","0","0","Sugiyono"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","DANUREJAN","BAUSASRAN","3471041003005","005","280","0","52","19","3","19","78","5","25","1","4","3","8","8","4","21","0","9","","","","","1","0","Reda"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","DANUREJAN","BAUSASRAN","3471041003006","006","286","0","61","17","7","37","64","13","10","1","3","21","3","5","5","27","0","10","","","","","2","0","Nugroho"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","DANUREJAN","BAUSASRAN","3471041003007","007","209","0","52","10","5","9","39","7","5","2","2","31","6","2","9","22","0","7","","","","","1","0","Meiran"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","DANUREJAN","BAUSASRAN","3471041003008","008","210","0","16","16","2","10","63","12","9","0","3","37","6","7","5","17","0","6","","","","","0","1","Sumar"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","DANUREJAN","BAUSASRAN","3471041003009","009","293","0","52","22","35","27","19","5","16","1","2","31","4","13","6","37","0","7","","","","","6","0","Sudarmanto"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","DANUREJAN","BAUSASRAN","3471041003010","010","289","0","44","33","12","27","28","1","10","0","4","30","7","17","4","50","0","9","","","","","1","2","Fuad"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","DANUREJAN","BAUSASRAN","3471041003011","011","217","0","44","23","9","35","39","7","5","2","1","15","2","5","0","10","0","12","","","","","2","0","Anton"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","DANUREJAN","BAUSASRAN","3471041003012","012","220","0","31","14","6","21","42","3","14","0","2","10","5","12","9","47","0","4","","","","","0","0","Wiryawan"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","DANUREJAN","BAUSASRAN","3471041003013","013","219","1","30","22","6","24","45","6","3","0","0","51","3","0","6","13","1","7","","","","","0","1","Novi Yulianti"
